dataset,regime,model,alpha,gamma,seed,rounds,tail,diverged,death_round,overall_tail,worst_group,worst_group_tail,group_tail_White,group_tail_Black,group_tail_Asian-Pac-Islander,group_tail_Amer-Indian-Eskimo,group_tail_Other,file
adult,infeasible,fedavg,,,0,4000,500,0,,0.246885,Asian-Pac-Islander,0.399635,0.332113,0.200648,0.399635,0.191188,0.110841,adult_infeasible_fedavg_seed0.csv.gz
adult,infeasible,fedavg,,,1,4000,500,0,,0.246788,Asian-Pac-Islander,0.397544,0.332652,0.197583,0.397544,0.187137,0.119026,adult_infeasible_fedavg_seed1.csv.gz
adult,infeasible,fedavg,,,2,4000,500,0,,0.249132,Asian-Pac-Islander,0.398424,0.3323,0.200047,0.398424,0.191071,0.123817,adult_infeasible_fedavg_seed2.csv.gz
adult,infeasible,fedavg,,,3,4000,500,0,,0.248121,Asian-Pac-Islander,0.400655,0.332439,0.197797,0.400655,0.186969,0.122747,adult_infeasible_fedavg_seed3.csv.gz
adult,infeasible,fedavg,,,4,4000,500,0,,0.248412,Asian-Pac-Islander,0.400587,0.332195,0.201517,0.400587,0.187398,0.120366,adult_infeasible_fedavg_seed4.csv.gz
adult,infeasible,fedavg_mk,,,0,4000,500,0,,0.671001,Asian-Pac-Islander,0.722623,0.699921,0.661036,0.722623,0.672928,0.598496,adult_infeasible_fedavg_mk_seed0.csv.gz
adult,infeasible,fedavg_mk,,,1,4000,500,0,,0.726869,Asian-Pac-Islander,0.817833,0.78357,0.725569,0.817833,0.749154,0.55822,adult_infeasible_fedavg_mk_seed1.csv.gz
adult,infeasible,fedavg_mk,,,2,4000,500,0,,0.647344,Asian-Pac-Islander,0.703662,0.67105,0.634329,0.703662,0.64873,0.578945,adult_infeasible_fedavg_mk_seed2.csv.gz
adult,infeasible,fedavg_mk,,,3,4000,500,0,,0.668502,Asian-Pac-Islander,0.720908,0.6979,0.659422,0.720908,0.669259,0.595018,adult_infeasible_fedavg_mk_seed3.csv.gz
adult,infeasible,fedavg_mk,,,4,4000,500,0,,0.637021,Asian-Pac-Islander,0.684975,0.661681,0.626089,0.684975,0.641053,0.571308,adult_infeasible_fedavg_mk_seed4.csv.gz
adult,infeasible,fedavot,,,0,4000,500,0,,0.226952,Asian-Pac-Islander,0.369769,0.338347,0.180065,0.369769,0.178153,0.0684234,adult_infeasible_fedavot_seed0.csv.gz
adult,infeasible,fedavot,,,1,4000,500,0,,0.226419,Asian-Pac-Islander,0.365834,0.340192,0.176868,0.365834,0.176765,0.0724348,adult_infeasible_fedavot_seed1.csv.gz
adult,infeasible,fedavot,,,2,4000,500,0,,0.227829,Asian-Pac-Islander,0.367336,0.338472,0.180141,0.367336,0.177013,0.0761799,adult_infeasible_fedavot_seed2.csv.gz
adult,infeasible,fedavot,,,3,4000,500,0,,0.226943,Asian-Pac-Islander,0.368769,0.339339,0.178242,0.368769,0.173178,0.0751875,adult_infeasible_fedavot_seed3.csv.gz
adult,infeasible,fedavot,,,4,4000,500,0,,0.226336,Asian-Pac-Islander,0.367867,0.338931,0.180506,0.367867,0.170807,0.0735701,adult_infeasible_fedavot_seed4.csv.gz
adult,infeasible,fedavot_cvar,0.10,0.10,0,4000,500,0,,0.272918,Asian-Pac-Islander,0.373409,0.343165,0.219955,0.373409,0.223048,0.205016,adult_infeasible_fedavot_cvar_a0.10_g0.10_seed0.csv.gz
adult,infeasible,fedavot_cvar,0.10,0.10,1,4000,500,0,,0.271004,Asian-Pac-Islander,0.369854,0.34411,0.215936,0.369854,0.223647,0.201471,adult_infeasible_fedavot_cvar_a0.10_g0.10_seed1.csv.gz
adult,infeasible,fedavot_cvar,0.10,0.10,2,4000,500,0,,0.276437,Asian-Pac-Islander,0.37451,0.344049,0.217689,0.37451,0.22752,0.218417,adult_infeasible_fedavot_cvar_a0.10_g0.10_seed2.csv.gz
adult,infeasible,fedavot_cvar,0.10,0.10,3,4000,500,0,,0.273425,Asian-Pac-Islander,0.371093,0.343674,0.217995,0.371093,0.22318,0.211183,adult_infeasible_fedavot_cvar_a0.10_g0.10_seed3.csv.gz
adult,infeasible,fedavot_cvar,0.10,0.10,4,4000,500,0,,0.269625,Asian-Pac-Islander,0.371712,0.34364,0.217366,0.371712,0.217997,0.197409,adult_infeasible_fedavot_cvar_a0.10_g0.10_seed4.csv.gz
adult,infeasible,fedavot_cvar,0.10,0.20,0,4000,500,0,,0.259518,Asian-Pac-Islander,0.372681,0.342555,0.215822,0.372681,0.212484,0.154046,adult_infeasible_fedavot_cvar_a0.10_g0.20_seed0.csv.gz
