cell,dataset,regime,beta,tag,nu,group,model,n_seeds,rare_mean,rare_std,overall_mean,overall_std,most_biased_users,p_over_r
adult_beta0.25_const,adult,infeasible,0.25,const,0.6000000000000001,Amer-Indian-Eskimo,full,5,0.118316,0.0,0.203774,0.0,,
adult_beta0.25_const,adult,infeasible,0.25,const,0.6000000000000001,most_biased,fedavot,5,0.1535487268,0.004276594298978116,nan,nan,98,2.573273976480276
adult_beta0.25_const,adult,infeasible,0.25,const,0.6000000000000001,most_biased,fedavg,5,0.1764675712,0.002616625289514906,nan,nan,98,2.573273976480276
adult_beta0.25_const,adult,infeasible,0.25,const,0.6000000000000001,most_biased,full,5,0.118311754,0.0,nan,nan,98,2.573273976480276
adult_beta0.25_decay1000,adult,infeasible,0.25,decay1000,0.6000000000000001,Other,fedavot,5,0.0524596,0.001749996437710659,0.2148756,0.0003612703143077223,,
adult_beta0.25_decay1000,adult,infeasible,0.25,decay1000,0.6000000000000001,Other,fedavg,5,0.0781762,0.0016629259959481076,0.2329956,0.0004582159316304927,,
adult_beta0.25_decay1000,adult,infeasible,0.25,decay1000,0.6000000000000001,Other,full,5,0.0309206,0.0,0.207304,0.0,,
adult_beta0.25_decay1000,adult,infeasible,0.25,decay1000,0.6000000000000001,Amer-Indian-Eskimo,fedavot,5,0.1561518,0.002498467882523205,0.2148756,0.0003612703143077223,,
adult_beta0.25_decay1000,adult,infeasible,0.25,decay1000,0.6000000000000001,Amer-Indian-Eskimo,fedavg,5,0.178357,0.0015509515788702107,0.2329956,0.0004582159316304927,,
adult_beta0.25_decay1000,adult,infeasible,0.25,decay1000,0.6000000000000001,Amer-Indian-Eskimo,full,5,0.122714,0.0,0.207304,0.0,,
adult_beta0.25_decay1000,adult,infeasible,0.25,decay1000,0.6000000000000001,most_biased,fedavot,5,0.156140944,0.0025403267393120884,nan,nan,98,2.573273976480276
adult_beta0.25_decay1000,adult,infeasible,0.25,decay1000,0.6000000000000001,most_biased,fedavg,5,0.1783448044,0.0015887426573898723,nan,nan,98,2.573273976480276
adult_beta0.25_decay1000,adult,infeasible,0.25,decay1000,0.6000000000000001,most_biased,full,5,0.122708888,0.0,nan,nan,98,2.573273976480276
adult_beta0.50_const,adult,infeasible,0.5,const,0.4,Other,fedavot,5,0.0328245,0.002069006927006288,0.205574,0.0002024816041026914,,
adult_beta0.50_const,adult,infeasible,0.5,const,0.4,Other,fedavg,5,0.0523642,0.002885239056300189,0.2179574,0.000943883170736719,,
adult_beta0.50_const,adult,infeasible,0.5,const,0.4,Other,full,5,0.0278196,0.0,0.203774,0.0,,
adult_beta0.50_const,adult,infeasible,0.5,const,0.4,Amer-Indian-Eskimo,fedavot,5,0.128473,0.003505409476794401,0.205574,0.0002024816041026914,,
adult_beta0.50_const,adult,infeasible,0.5,const,0.4,Amer-Indian-Eskimo,fedavg,5,0.1642354,0.00325905499186497,0.2179574,0.000943883170736719,,
adult_beta0.50_const,adult,infeasible,0.5,const,0.4,Amer-Indian-Eskimo,full,5,0.118316,0.0,0.203774,0.0,,
adult_beta0.50_const,adult,infeasible,0.5,const,0.4,most_biased,fedavot,5,0.0327490406,0.0021345513649598737,nan,nan,99,1.1254924029262803
adult_beta0.50_const,adult,infeasible,0.5,const,0.4,most_biased,fedavg,5,0.05222843176,0.0029502659550154652,nan,nan,99,1.1254924029262803
adult_beta0.50_const,adult,infeasible,0.5,const,0.4,most_biased,full,5,0.0278168592,0.0,nan,nan,99,1.1254924029262803
adult_beta0.50_decay1000,adult,infeasible,0.5,decay1000,0.4,Other,fedavot,5,0.03525206,0.0014798625944323347,0.20777800000000002,0.00012759467073510713,,
adult_beta0.50_decay1000,adult,infeasible,0.5,decay1000,0.4,Other,fedavg,5,0.0576638,0.0021696641841538514,0.221205,0.0008441357710700346,,
adult_beta0.50_decay1000,adult,infeasible,0.5,decay1000,0.4,Other,full,5,0.0309206,0.0,0.207304,0.0,,
adult_beta0.50_decay1000,adult,infeasible,0.5,decay1000,0.4,Amer-Indian-Eskimo,fedavot,5,0.1319092,0.0022843388890442674,0.20777800000000002,0.00012759467073510713,,
adult_beta0.50_decay1000,adult,infeasible,0.5,decay1000,0.4,Amer-Indian-Eskimo,fedavg,5,0.16524919999999998,0.0030829804670156453,0.221205,0.0008441357710700346,,
adult_beta0.50_decay1000,adult,infeasible,0.5,decay1000,0.4,Amer-Indian-Eskimo,full,5,0.122714,0.0,0.207304,0.0,,
