dataset,regime,beta,tag,n_infeasible,infeasible_mass,l1_p_phat,l1_p_ptilde,floor_fedavot,floor_fedavg,floor_full,meas_fedavot,meas_fedavg,meas_full,std_fedavot,std_fedavg,std_full,n_seeds
adult,infeasible,0.0,const,5,0.6000000000000001,0.9115061151299997,1.2999706666666668,0.2168888603489331,0.2279058610496089,0.19928915661973398,0.222521,0.2380546,0.203774,0.0008713903832381862,0.0009568512110040992,0.0,5
adult,infeasible,0.0,decay1000,5,0.6000000000000001,0.9115061151299997,1.2999706666666668,0.2168888603489331,0.2279058610496089,0.19928915661973398,0.2268958,0.2478676,0.207304,0.0005323462782813432,0.0009044699221090744,0.0,5
adult,infeasible,0.25,const,5,0.6000000000000001,0.5900641151300016,1.0820346666666667,0.20661761646883225,0.22104306397207302,0.19928915661973398,0.2121212,0.2276884,0.203774,0.0005223000670112961,0.0005538601267468221,0.0,5
adult,infeasible,0.25,decay1000,5,0.6000000000000001,0.5900641151300016,1.0820346666666667,0.20661761646883225,0.22104306397207302,0.19928915661973398,0.2148756,0.2329956,0.207304,0.0003612703143077223,0.0004582159316304927,0.0,5
adult,infeasible,0.5,const,2,0.4,0.13504014249199983,0.7598813333333334,0.1996953693895706,0.21256649813721193,0.19928915661973398,0.205574,0.2179574,0.203774,0.0002024816041026914,0.000943883170736719,0.0,5
adult,infeasible,0.5,decay1000,2,0.4,0.13504014249199983,0.7598813333333334,0.1996953693895706,0.21256649813721193,0.19928915661973398,0.20777800000000002,0.221205,0.207304,0.00012759467073510713,0.0008441357710700346,0.0,5
adult,infeasible,0.75,const,0,0.0,1.6169999960454623e-07,0.43076133333333333,0.19928915661168373,0.20419471105057804,0.19928915661973398,0.2047582,0.2098728,0.203774,0.00017794650881655332,0.0003609822156284216,0.0,5
adult,infeasible,0.75,decay1000,0,0.0,1.6169999960454623e-07,0.43076133333333333,0.19928915661168373,0.20419471105057804,0.19928915661973398,0.2075576,0.212563,0.207304,5.88238047052407e-05,0.00030664572392258044,0.0,5
adult,infeasible,1.0,const,0,0.0,1.616999999792465e-07,0.10760666666666664,0.19928915661106117,0.19955390793606045,0.19928915661973398,0.2045332,0.204754,0.203774,6.545043926513638e-05,4.403634862247441e-05,0.0,5
adult,infeasible,1.0,decay1000,0,0.0,1.616999999792465e-07,0.10760666666666664,0.19928915661106117,0.19955390793606045,0.19928915661973398,0.20748,0.207673,0.207304,5.128352561983135e-05,3.316021712835915e-05,0.0,5
imdbwiki,infeasible,0.0,const,9,0.31290673463385943,0.19897949100914838,0.9416834052870633,83.42308596487749,90.4161267558518,82.94237778304685,95.62948,94.75928,83.0686,0.4416084754621459,0.6524560043405228,0.0,5
imdbwiki,infeasible,0.0,decay1000,9,0.31290673463385943,0.19897949100914838,0.9416834052870633,83.42308596487749,90.4161267558518,82.94237778304685,86.06122,91.62952,82.9485,0.21076378626319708,0.5648239137996874,0.0,5
imdbwiki,infeasible,0.5,const,20,0.5883697676698363,0.6849134909086285,1.2254595719373917,90.13251281445226,95.8452653792829,82.94237778304685,102.4842,99.37964,83.0686,0.6642241790239165,0.40210037851262986,0.0,5
imdbwiki,infeasible,0.5,decay1000,20,0.5883697676698363,0.6849134909086285,1.2254595719373917,90.13251281445226,95.8452653792829,82.94237778304685,93.23362,96.6894,82.9485,0.6220175766005337,0.27988166070680637,0.0,5
imdbwiki,infeasible,1.0,const,26,0.6980443093814331,1.00833735972695,1.4109237738783778,95.34815125051156,99.01981419718732,82.94237778304685,105.9808,102.5846,83.0686,0.809378872963709,0.6029336945303367,0.0,5
imdbwiki,infeasible,1.0,decay1000,26,0.6980443093814331,1.00833735972695,1.4109237738783778,95.34815125051156,99.01981419718732,82.94237778304685,97.88268000000001,99.93326,82.9485,0.6999385898777116,0.47325826184019415,0.0,5
imdbwiki,infeasible,1.5,const,31,0.7713077149299089,1.2274462543833875,1.5362539374571118,98.66301513063003,101.21953990546375,82.94237778304685,109.5874,104.3274,83.0686,1.163963160929075,0.33936741151737143,0.0,5
imdbwiki,infeasible,1.5,decay1000,31,0.7713077149299089,1.2274462543833875,1.5362539374571118,98.66301513063003,101.21953990546375,82.94237778304685,101.23828,101.8136,82.9485,1.130961039824094,0.3452023174893202,0.0,5
imdbwiki,infeasible,2.0,const,35,0.8195853347711008,1.3820296953756723,1.6258034648890631,101.36792630504517,102.99213004087932,82.94237778304685,111.64020000000001,106.1238,83.0686,1.1552636755303964,0.4176153253892843,0.0,5
imdbwiki,infeasible,2.0,decay1000,35,0.8195853347711008,1.3820296953756723,1.6258034648890631,101.36792630504517,102.99213004087932,82.94237778304685,103.7648,103.7374,82.9485,0.9009262788930104,0.3824701818442859,0.0,5
imdbwiki,infeasible,3.0,const,41,0.8771532202725223,1.5810103438630445,1.7420218321079632,105.87598550801633,105.89682587889244,82.94237778304685,116.40480000000001,108.4674,83.0686,0.532946301234938,0.6747018897261239,0.0,5
imdbwiki,infeasible,3.0,decay1000,41,0.8771532202725223,1.5810103438630445,1.7420218321079632,105.87598550801633,105.89682587889244,82.94237778304685,108.3978,106.117,82.9485,0.35801083782477783,0.5386015224634986,0.0,5
imdbwiki,feasible,,const,0,0.0,1.617000007737436e-07,0.5042260737836158,82.94237778304684,85.60271455193363,82.94237778304685,89.08436,89.50732,83.0686,0.5282476941738585,0.5522891757041786,0.0,5
imdbwiki,feasible,,decay1000,0,0.0,1.617000007737436e-07,0.5042260737836158,82.94237778304684,85.60271455193363,82.94237778304685,84.27846,86.37158,82.9485,0.1476882879581149,0.3358030815820472,0.0,5
