dataset,regime,model,alpha,gamma,seed,rounds,tail,diverged,death_round,overall_tail,worst_group,worst_group_tail,group_tail_White,group_tail_Black,group_tail_Asian-Pac-Islander,group_tail_Amer-Indian-Eskimo,group_tail_Other,file
adult,infeasible,fedavg,,,0,4000,500,0,,0.207638,White,0.374319,0.374319,0.17558,0.322818,0.130032,0.0354428,adult_infeasible_fedavg_seed0.csv.gz
adult,infeasible,fedavg,,,1,4000,500,0,,0.207628,White,0.373824,0.373824,0.174182,0.324265,0.130292,0.0355781,adult_infeasible_fedavg_seed1.csv.gz
adult,infeasible,fedavg,,,2,4000,500,0,,0.207705,White,0.373077,0.373077,0.174914,0.326221,0.130028,0.034286,adult_infeasible_fedavg_seed2.csv.gz
adult,infeasible,fedavg,,,3,4000,500,0,,0.207703,White,0.374243,0.374243,0.176262,0.323714,0.12851,0.0357833,adult_infeasible_fedavg_seed3.csv.gz
adult,infeasible,fedavg,,,4,4000,500,0,,0.207691,White,0.376749,0.376749,0.174786,0.319955,0.132214,0.0347504,adult_infeasible_fedavg_seed4.csv.gz
adult,infeasible,fedavg_mk,,,0,4000,500,1,16,1e+12,White,9.99997e+11,9.99997e+11,9.99997e+11,9.99997e+11,9.99997e+11,9.99997e+11,adult_infeasible_fedavg_mk_seed0.csv.gz
adult,infeasible,fedavg_mk,,,1,4000,500,1,14,1e+12,White,9.99997e+11,9.99997e+11,9.99997e+11,9.99997e+11,9.99997e+11,9.99997e+11,adult_infeasible_fedavg_mk_seed1.csv.gz
adult,infeasible,fedavg_mk,,,2,4000,500,1,14,1e+12,White,9.99997e+11,9.99997e+11,9.99997e+11,9.99997e+11,9.99997e+11,9.99997e+11,adult_infeasible_fedavg_mk_seed2.csv.gz
adult,infeasible,fedavg_mk,,,3,4000,500,1,18,1e+12,White,9.99997e+11,9.99997e+11,9.99997e+11,9.99997e+11,9.99997e+11,9.99997e+11,adult_infeasible_fedavg_mk_seed3.csv.gz
adult,infeasible,fedavg_mk,,,4,4000,500,1,13,1e+12,White,9.99997e+11,9.99997e+11,9.99997e+11,9.99997e+11,9.99997e+11,9.99997e+11,adult_infeasible_fedavg_mk_seed4.csv.gz
adult,infeasible,fedavot,,,0,4000,500,0,,0.207451,White,0.378738,0.378738,0.177632,0.326246,0.122677,0.0319608,adult_infeasible_fedavot_seed0.csv.gz
adult,infeasible,fedavot,,,1,4000,500,0,,0.207404,White,0.377957,0.377957,0.176328,0.327636,0.122979,0.0321195,adult_infeasible_fedavot_seed1.csv.gz
adult,infeasible,fedavot,,,2,4000,500,0,,0.20753,White,0.377404,0.377404,0.176948,0.32956,0.122766,0.0309709,adult_infeasible_fedavot_seed2.csv.gz
adult,infeasible,fedavot,,,3,4000,500,0,,0.207543,White,0.378558,0.378558,0.178172,0.327176,0.121377,0.0324318,adult_infeasible_fedavot_seed3.csv.gz
adult,infeasible,fedavot,,,4,4000,500,0,,0.207472,White,0.380953,0.380953,0.176878,0.323392,0.124661,0.031478,adult_infeasible_fedavot_seed4.csv.gz
adult,infeasible,fedavot_cvar,0.10,0.10,0,4000,500,0,,0.238095,White,0.35332,0.35332,0.217317,0.328461,0.188776,0.102601,adult_infeasible_fedavot_cvar_a0.10_g0.10_seed0.csv.gz
adult,infeasible,fedavot_cvar,0.10,0.10,1,4000,500,0,,0.235831,White,0.352768,0.352768,0.213925,0.326691,0.186513,0.0992586,adult_infeasible_fedavot_cvar_a0.10_g0.10_seed1.csv.gz
adult,infeasible,fedavot_cvar,0.10,0.10,2,4000,500,0,,0.236321,White,0.351338,0.351338,0.2156,0.329409,0.182855,0.102405,adult_infeasible_fedavot_cvar_a0.10_g0.10_seed2.csv.gz
adult,infeasible,fedavot_cvar,0.10,0.10,3,4000,500,0,,0.23714,White,0.353297,0.353297,0.215802,0.327773,0.184736,0.104091,adult_infeasible_fedavot_cvar_a0.10_g0.10_seed3.csv.gz
