dataset,regime,model,alpha,gamma,seed,rounds,tail,diverged,death_round,overall_tail,worst_group,worst_group_tail,group_tail_tier1,group_tail_tier2,group_tail_tier3,group_tail_tier4,group_tail_tier5,file
imdbwiki,infeasible,fedavg,,,0,4000,500,0,,90.7275,tier2,97.9488,84.4845,97.9488,80.1105,72.3486,96.8193,imdbwiki_infeasible_fedavg_seed0.csv.gz
imdbwiki,infeasible,fedavg,,,1,4000,500,0,,91.8686,tier2,97.2239,87.175,97.2239,77.7396,72.0751,96.912,imdbwiki_infeasible_fedavg_seed1.csv.gz
imdbwiki,infeasible,fedavg,,,2,4000,500,0,,91.6531,tier5,96.5401,86.8821,96.3735,78.484,72.8631,96.5401,imdbwiki_infeasible_fedavg_seed2.csv.gz
imdbwiki,infeasible,fedavg,,,3,4000,500,0,,92.4588,tier2,98.1013,87.1287,98.1013,77.6035,71.9936,96.9195,imdbwiki_infeasible_fedavg_seed3.csv.gz
imdbwiki,infeasible,fedavg,,,4,4000,500,0,,91.4396,tier2,96.7976,86.4175,96.7976,79.1035,73.1685,95.8607,imdbwiki_infeasible_fedavg_seed4.csv.gz
imdbwiki,infeasible,fedavg_mk,,,0,4000,500,0,,41924.2,tier1,42751.1,42751.1,41480.6,42064.6,37330.6,38753.8,imdbwiki_infeasible_fedavg_mk_seed0.csv.gz
imdbwiki,infeasible,fedavg_mk,,,1,4000,500,0,,123.468,tier5,151.417,113.37,127.963,131.63,100.915,151.417,imdbwiki_infeasible_fedavg_mk_seed1.csv.gz
imdbwiki,infeasible,fedavg_mk,,,2,4000,500,0,,135.47,tier5,160.341,126.826,135.252,139.898,111.772,160.341,imdbwiki_infeasible_fedavg_mk_seed2.csv.gz
imdbwiki,infeasible,fedavg_mk,,,3,4000,500,0,,134.742,tier5,160.225,125.235,137.914,140.57,111.02,160.225,imdbwiki_infeasible_fedavg_mk_seed3.csv.gz
imdbwiki,infeasible,fedavg_mk,,,4,4000,500,0,,199.728,tier5,220.752,193.956,188.704,194.401,174.249,220.752,imdbwiki_infeasible_fedavg_mk_seed4.csv.gz
imdbwiki,infeasible,fedavot,,,0,4000,500,0,,85.8495,tier5,114.22,75.7608,99.201,88.4458,88.4549,114.22,imdbwiki_infeasible_fedavot_seed0.csv.gz
imdbwiki,infeasible,fedavot,,,1,4000,500,0,,85.9733,tier5,115.055,77.5969,96.0417,86.4093,86.5273,115.055,imdbwiki_infeasible_fedavot_seed1.csv.gz
imdbwiki,infeasible,fedavot,,,2,4000,500,0,,86.1828,tier5,115.866,77.781,96.4214,86.036,86.6977,115.866,imdbwiki_infeasible_fedavot_seed2.csv.gz
imdbwiki,infeasible,fedavot,,,3,4000,500,0,,86.4138,tier5,115.729,77.2092,96.6206,86.9818,83.635,115.729,imdbwiki_infeasible_fedavot_seed3.csv.gz
imdbwiki,infeasible,fedavot,,,4,4000,500,0,,85.8867,tier5,115.612,76.6262,98.3511,88.8261,90.3069,115.612,imdbwiki_infeasible_fedavot_seed4.csv.gz
imdbwiki,infeasible,fedavot_cvar,0.10,0.10,0,4000,500,0,,106.8,tier5,130.973,101.661,115.252,106.131,125.853,130.973,imdbwiki_infeasible_fedavot_cvar_a0.10_g0.10_seed0.csv.gz
imdbwiki,infeasible,fedavot_cvar,0.10,0.10,1,4000,500,0,,106.446,tier5,130.696,102.368,112.439,101.055,125.677,130.696,imdbwiki_infeasible_fedavot_cvar_a0.10_g0.10_seed1.csv.gz
imdbwiki,infeasible,fedavot_cvar,0.10,0.10,2,4000,500,0,,108.043,tier5,131.111,104.37,116.339,99.2738,124.543,131.111,imdbwiki_infeasible_fedavot_cvar_a0.10_g0.10_seed2.csv.gz
imdbwiki,infeasible,fedavot_cvar,0.10,0.10,3,4000,500,0,,107.239,tier5,131.639,103.708,112.232,102.625,121.622,131.639,imdbwiki_infeasible_fedavot_cvar_a0.10_g0.10_seed3.csv.gz
imdbwiki,infeasible,fedavot_cvar,0.10,0.10,4,4000,500,0,,107.803,tier5,135.348,103.051,116.588,103.881,129.109,135.348,imdbwiki_infeasible_fedavot_cvar_a0.10_g0.10_seed4.csv.gz
imdbwiki,infeasible,fedavot_cvar,0.10,0.20,0,4000,500,0,,105.172,tier5,129.575,99.7933,113.742,104.982,123.623,129.575,imdbwiki_infeasible_fedavot_cvar_a0.10_g0.20_seed0.csv.gz
imdbwiki,infeasible,fedavot_cvar,0.10,0.20,1,4000,500,0,,105.708,tier5,129.187,101.943,111.501,99.643,124.816,129.187,imdbwiki_infeasible_fedavot_cvar_a0.10_g0.20_seed1.csv.gz
imdbwiki,infeasible,fedavot_cvar,0.10,0.20,2,4000,500,0,,106.861,tier5,130.523,102.927,115.861,98.3863,123.891,130.523,imdbwiki_infeasible_fedavot_cvar_a0.10_g0.20_seed2.csv.gz
imdbwiki,infeasible,fedavot_cvar,0.10,0.20,3,4000,500,0,,105.348,tier5,130.561,101.276,110.789,101.626,119.375,130.561,imdbwiki_infeasible_fedavot_cvar_a0.10_g0.20_seed3.csv.gz
imdbwiki,infeasible,fedavot_cvar,0.10,0.20,4,4000,500,0,,105.952,tier5,133.461,101.17,114.263,102.577,126.791,133.461,imdbwiki_infeasible_fedavot_cvar_a0.10_g0.20_seed4.csv.gz
imdbwiki,infeasible,fedavot_cvar,0.10,0.30,0,4000,500,0,,103.529,tier5,128.222,98.1788,111.951,103.788,121.869,128.222,imdbwiki_infeasible_fedavot_cvar_a0.10_g0.30_seed0.csv.gz
imdbwiki,infeasible,fedavot_cvar,0.10,0.30,1,4000,500,0,,103.776,tier5,127.417,99.8371,109.613,98.2761,121.727,127.417,imdbwiki_infeasible_fedavot_cvar_a0.10_g0.30_seed1.csv.gz
imdbwiki,infeasible,fedavot_cvar,0.10,0.30,2,4000,500,0,,105.213,tier5,129.931,100.978,114.194,97.4357,122.178,129.931,imdbwiki_infeasible_fedavot_cvar_a0.10_g0.30_seed2.csv.gz
imdbwiki,infeasible,fedavot_cvar,0.10,0.30,3,4000,500,0,,103.61,tier5,128.749,99.4243,109.373,100.11,118.022,128.749,imdbwiki_infeasible_fedavot_cvar_a0.10_g0.30_seed3.csv.gz
imdbwiki,infeasible,fedavot_cvar,0.10,0.30,4,4000,500,0,,103.954,tier5,131.659,99.3721,112.061,100.856,124.231,131.659,imdbwiki_infeasible_fedavot_cvar_a0.10_g0.30_seed4.csv.gz
imdbwiki,infeasible,fedavot_cvar,0.10,0.40,0,4000,500,0,,101.65,tier5,126.401,95.9965,110.349,102.151,118.959,126.401,imdbwiki_infeasible_fedavot_cvar_a0.10_g0.40_seed0.csv.gz
imdbwiki,infeasible,fedavot_cvar,0.10,0.40,1,4000,500,0,,101.079,tier5,125.684,96.6893,107.523,96.5928,118.515,125.684,imdbwiki_infeasible_fedavot_cvar_a0.10_g0.40_seed1.csv.gz
imdbwiki,infeasible,fedavot_cvar,0.10,0.40,2,4000,500,0,,102.67,tier5,127.778,98.2996,111.399,95.9004,118.779,127.778,imdbwiki_infeasible_fedavot_cvar_a0.10_g0.40_seed2.csv.gz
imdbwiki,infeasible,fedavot_cvar,0.10,0.40,3,4000,500,0,,101.559,tier5,127.101,97.1459,107.256,98.9578,115.537,127.101,imdbwiki_infeasible_fedavot_cvar_a0.10_g0.40_seed3.csv.gz
imdbwiki,infeasible,fedavot_cvar,0.10,0.40,4,4000,500,0,,101.81,tier5,129.358,96.8348,110.24,99.8445,121.281,129.358,imdbwiki_infeasible_fedavot_cvar_a0.10_g0.40_seed4.csv.gz
imdbwiki,infeasible,fedavot_cvar,0.10,0.50,0,4000,500,0,,99.9022,tier5,124.968,94.2156,108.296,100.667,116.928,124.968,imdbwiki_infeasible_fedavot_cvar_a0.10_g0.50_seed0.csv.gz
imdbwiki,infeasible,fedavot_cvar,0.10,0.50,1,4000,500,0,,98.592,tier5,123.202,93.9593,104.896,95.1883,114.942,123.202,imdbwiki_infeasible_fedavot_cvar_a0.10_g0.50_seed1.csv.gz
imdbwiki,infeasible,fedavot_cvar,0.10,0.50,2,4000,500,0,,100.108,tier5,125.406,95.3729,108.771,94.2729,115.739,125.406,imdbwiki_infeasible_fedavot_cvar_a0.10_g0.50_seed2.csv.gz
imdbwiki,infeasible,fedavot_cvar,0.10,0.50,3,4000,500,0,,98.6619,tier5,125.141,93.7929,104.714,97.1587,111.389,125.141,imdbwiki_infeasible_fedavot_cvar_a0.10_g0.50_seed3.csv.gz
imdbwiki,infeasible,fedavot_cvar,0.10,0.50,4,4000,500,0,,99.4191,tier5,127.706,94.2656,107.846,98.2905,117.911,127.706,imdbwiki_infeasible_fedavot_cvar_a0.10_g0.50_seed4.csv.gz
imdbwiki,infeasible,fedavot_cvar,0.10,0.60,0,4000,500,0,,97.2055,tier5,122.116,91.2596,105.558,98.1769,112.633,122.116,imdbwiki_infeasible_fedavot_cvar_a0.10_g0.60_seed0.csv.gz
imdbwiki,infeasible,fedavot_cvar,0.10,0.60,1,4000,500,0,,95.4571,tier5,120.65,90.5741,101.769,92.9135,109.912,120.65,imdbwiki_infeasible_fedavot_cvar_a0.10_g0.60_seed1.csv.gz
imdbwiki,infeasible,fedavot_cvar,0.10,0.60,2,4000,500,0,,96.896,tier5,122.711,91.8058,105.522,92.0688,110.891,122.711,imdbwiki_infeasible_fedavot_cvar_a0.10_g0.60_seed2.csv.gz
imdbwiki,infeasible,fedavot_cvar,0.10,0.60,3,4000,500,0,,95.7252,tier5,122.665,90.4995,101.747,95.4378,107.313,122.665,imdbwiki_infeasible_fedavot_cvar_a0.10_g0.60_seed3.csv.gz
